unknown,seed,shot,method,accuracy,precision,recall,macro_f1,roc_auc,pr_auc,attack_recall,false_positive_rate
bruteforce,52,10,MetaOpt,0.9059999999999999,0.9225765900765901,0.9059999999999999,0.9041657746726733,0.9833,0.979021891996892,0.988,0.17600000000000002
bruteforce,52,10,SGD,0.912,0.9224967948717949,0.912,0.910796576529616,0.9821,0.98499402525579,0.971,0.14700000000000002
bruteforce,62,1,Adam,0.742,0.7585210605742726,0.742,0.7035472747902308,0.8390000000000001,0.8407605303279452,0.895,0.41100000000000003
bruteforce,62,1,MetaOpt,0.79,0.8105730781086818,0.79,0.7633708676867202,0.9002,0.8970184762133292,0.917,0.337
bruteforce,62,1,SGD,0.767,0.7858855517332686,0.767,0.7332455968565212,0.8837999999999999,0.8832803156209116,0.93,0.396
bruteforce,62,3,Adam,0.8525,0.8688216334319275,0.8525,0.8417878577029876,0.9623999999999999,0.9569750181492054,0.95,0.245
bruteforce,62,3,MetaOpt,0.9135,0.9286155021449141,0.9135,0.9108925471585991,0.9845999999999999,0.9788833694083694,0.976,0.149
bruteforce,62,3,SGD,0.899,0.9091745264539383,0.899,0.8935546307563403,0.9834999999999999,0.9808155483405483,0.975,0.177
bruteforce,62,5,Adam,0.9135,0.9284763080057198,0.9135,0.9110157895030692,0.9775,0.9715806544246947,0.9740000000000001,0.14700000000000002
bruteforce,62,5,MetaOpt,0.9420000000000001,0.950561618936619,0.9420000000000001,0.941250689548408,0.9884000000000001,0.984643228993229,0.977,0.09300000000000001
bruteforce,62,5,SGD,0.932,0.9422154512154514,0.932,0.9310925464770194,0.9895,0.9887566461316462,0.982,0.11800000000000001
bruteforce,62,10,Adam,0.9209999999999999,0.9311402625152625,0.9209999999999999,0.9200500364003864,0.9802,0.9751486323617903,0.97,0.128
bruteforce,62,10,MetaOpt,0.9384999999999999,0.9457955516705517,0.9384999999999999,0.9379859644849549,0.985,0.9790743561993561,0.972,0.095
bruteforce,62,10,SGD,0.9315000000000001,0.9404741508491509,0.9315000000000001,0.9307628513856137,0.9867999999999999,0.9850357004107003,0.977,0.114
bruteforce,72,1,Adam,0.6295000000000001,0.6433130544635962,0.6295000000000001,0.5777559356968752,0.7225,0.747647738845262,0.813,0.5539999999999999
bruteforce,72,1,MetaOpt,0.693,0.7036022341951135,0.693,0.654700391802958,0.7859,0.8042058628548954,0.8140000000000001,0.428
bruteforce,72,1,SGD,0.6815000000000001,0.6980404545145257,0.6815000000000001,0.6354027788108252,0.7905,0.8138835153494596,0.858,0.495
bruteforce,72,3,Adam,0.75,0.7957951172494516,0.75,0.7251897830501883,0.8943000000000001,0.8860481941218395,0.935,0.435
bruteforce,72,3,MetaOpt,0.8454999999999999,0.8597302419802421,0.8454999999999999,0.8420305880532324,0.9064,0.9026075095527107,0.8590000000000001,0.168
bruteforce,72,3,SGD,0.8245,0.8545441326389469,0.8245,0.8156425263885606,0.929,0.9264811535042184,0.929,0.28
bruteforce,72,5,Adam,0.787,0.8266033504893799,0.787,0.7758219424322904,0.9092,0.9047164370931786,0.938,0.364
bruteforce,72,5,MetaOpt,0.847,0.865767218892219,0.847,0.8442023346861481,0.9091,0.9102091913762191,0.83,0.136
bruteforce,72,5,SGD,0.8595,0.878314407814408,0.8595,0.8566511272189022,0.9415,0.9423716430714109,0.937,0.218
bruteforce,72,10,Adam,0.8105,0.8368835123210124,0.8105,0.8024321560194491,0.9224,0.9252262803931534,0.924,0.303
bruteforce,72,10,MetaOpt,0.857,0.8753282363061775,0.857,0.8534000294230978,0.9174,0.9219680988730912,0.805,0.091
bruteforce,72,10,SGD,0.8855,0.8962543706293706,0.8855,0.8843381592981135,0.9436,0.9444275753314453,0.93,0.159
bruteforce,82,1,Adam,0.726,0.7859984963222192,0.726,0.6926480004174574,0.8679000000000001,0.8612499113115986,0.885,0.433
bruteforce,82,1,MetaOpt,0.7105,0.7549829788589463,0.7105,0.6739096180090486,0.8461,0.8492443839528205,0.858,0.43700000000000006
bruteforce,82,1,SGD,0.713,0.7599983715544861,0.713,0.678695809696636,0.8639,0.8666582786666378,0.85,0.424
bruteforce,82,3,Adam,0.8075,0.8442528494252567,0.8075,0.7933281280674974,0.9328,0.9228209975482033,0.9329999999999999,0.318
bruteforce,82,3,MetaOpt,0.8484999999999999,0.8772611250548558,0.8484999999999999,0.8415131236838154,0.9339,0.9276703516040203,0.9329999999999999,0.23600000000000002
bruteforce,82,3,SGD,0.8275,0.8553108759575478,0.8275,0.8177107744849021,0.9342,0.9293609021997953,0.9279999999999999,0.273
bruteforce,82,5,Adam,0.843,0.8781779623025754,0.843,0.8356290915101043,0.9517,0.9424380108754334,0.976,0.29
bruteforce,82,5,MetaOpt,0.879,0.9010541745835865,0.879,0.8755065050475267,0.9533,0.9465107025929007,0.953,0.195
